Year,Round,Pick,Player,Pos,HT,WT,Age,Pre-Draft Team,Class,Draft Trades,YOS
2025,1,16,Yang Hansen,C,7-1,270,19,Qingdao (China),2005 DOB *,MEM to POR,0
2025,2,48,Javon Small,G,6-1,190,22,West Virginia,Sr,,0
2025,2,56,Will Richard,F,6-3,206,22,Florida,Sr,MEM to GOS,0
2024,1,9,Zach Edey,C,7-3,305,22,Purdue,Sr *,,1
2024,2,39,Jaylen Wells,F,6-7,206,20,Washington State,Jr *,,1
2024,2,57,Ulrich Chomche,PF,6-11,235,18,NBA Academy Africa (Senegal),2005 DOB *,MEM to TOR,1
2023,1,25,Marcus Sasser,G,6-1,195,22,Houston,Sr *,MEM to BOS BOS to DET,2
2023,2,45,G.G. Jackson,PF,6-9,210,18,South Carolina,Fr *,,2
2023,2,56,Tarik Biberovic,G,6-7,218,22,Fenerbahce Beko (Turkey),2001 DOB,,0
2022,1,22,Walker Kessler,C,7-2,245,20,Auburn,So *,MEM to MIN MIN to UTH,3
2022,1,29,"TyTy Washington, Jr.",PG,6-3,195,20,Kentucky,Fr *,MEM to MIN MIN to HOU,3
2022,2,47,"Vincent Williams, Jr.",SF,6-4,205,21,VCU,Sr *,,3
2021,1,17,Trey Murphy III,G,6-8,206,21,Virginia,Jr *,MEM to NOP,4
2021,2,51,"B.J. Boston, Jr.",SG,6-6,188,19,Kentucky,Fr *,MEM to NOP NOP to LAC,4
2020,2,40,Robert Woodard II,G,6-7,230,21,Mississippi State,So *,MEM to SAC,2
2019,1,2,Ja Morant,G,6-2,174,19,Murray State,So *,,6
2018,1,4,"Jaren Jackson, Jr.",PF,6-10,242,18,Michigan State,Fr *,,7
2018,2,32,Jevon Carter,PG,6-0,200,22,West Virginia,Sr,,7
2016,1,17,Wade Baldwin IV,G,6-4,220,20,Vanderbilt,So *,,3
2016,2,57,Zhelin Wang,C,7-0,251,22,Fujian (China),1994 DOB,MEM to LAL LAL to NYK,0
2015,1,25,Jarell Martin,F,6-10,239,21,LSU,So *,,4
2014,1,22,Jordan Adams,SG,6-5,209,19,UCLA,So *,,2
2013,2,41,Jamaal Franklin,G,6-5,190,21,San Diego State,Jr *,,2
2013,2,55,Joffrey Lauvergne,PF,6-11,260,21,KK Partizan (Serbia),1991 DOB,MEM to DEN,4
2013,2,60,Janis Timma,SF,6-7,226,20,BK Ventspils (Latvia),1992 DOB *,MEM to ORL,0
2012,1,25,Tony Wroten,PG,6-6,205,19,Washington,Fr *,,4
2011,2,49,Josh Selby,G,6-2,195,20,Kansas,Fr *,,2
2010,1,12,Xavier Henry,G,6-6,220,19,Kansas,Fr *,,5
2010,1,25,Dominique Jones,G,6-4,215,21,South Florida,Jr *,MEM to DAL,3
2010,1,28,Greivis Vasquez,G,6-6,217,23,Maryland,Sr,,7
2009,1,2,Hasheem Thabeet,C,7-3,267,22,UConn,Jr *,,5
2009,1,27,DeMarre Carroll,F,6-8,215,22,Missouri,Sr,,11
2009,2,36,Sam Young,F,6-6,225,24,Pittsburgh,Sr,,4
2008,1,5,Kevin Love,FC,6-10,251,19,UCLA,Fr *,MEM to MIN,17
2008,1,28,Donte Greene,F,6-11,226,20,Syracuse,Fr *,MEM to HOU,5
2007,1,4,Mike Conley,PG,6-1,175,19,Ohio State,Fr *,,18
2006,1,24,Kyle Lowry,PG,6-0,196,20,Villanova,So *,,19
2005,1,19,Hakim Warrick,F,6-9,219,22,Syracuse,Sr,,8
2004,2,49,Sergei Lishouk,FC,6-11,250,22,Khimik Yuzhny (Ukraine),1982 DOB,MEM to HOU HOU to LAL LAL to HOU HOU to PHL PHL to LAC LAC to HOU,0
2003,1,13,Marcus Banks,G,6-2,200,21,UNLV,Sr,MEM to BOS,8
2003,1,27,Kendrick Perkins,C,6-10,270,18,Ozen High School (Texas),1984 DOB *,MEM to BOS,14
2002,1,4,Drew Gooden,FC,6-10,250,20,Kansas,Jr *,,14
2002,2,31,Robert Archibald,PF,6-11,250,22,Illinois,Sr,,2
2002,2,45,Matt Barnes,GF,6-7,226,22,UCLA,Sr,MEM to CLE,15
2001,1,6,Shane Battier,F,6-8,220,22,Duke,Sr,,13
2001,1,27,Jamaal Tinsley,PG,6-3,188,23,Iowa State,Sr,MEM to ATL ATL to IND,12
2001,2,32,Will Solomon,G,6-1,181,22,Clemson,Jr *,,2
2001,2,47,Antonis Fotsis,PF,6-8,248,20,AX Armani Exchange Milan (Italy),1981 DOB *,,1
2000,1,2,Stromile Swift,F-C,6-9,225,20,LSU,So *,,9
1999,1,2,Steve Francis,G,6-3,195,22,Maryland,Jr *,VAN to HOU,10
1999,2,37,Obinna Ekezie,C,6-9,270,23,Maryland,Sr,,6
1999,2,51,Antwain Smith,F,6-8,220,24,Saint Paul's,Sr,,1
1998,1,2,Mike Bibby,G,6-2,195,20,Arizona,So *,,14
1998,2,56,J.R. Henderson,F,6-8,226,21,UCLA,Sr,,3
1997,1,4,Antonio Daniels,G,6-4,195,22,Bowling Green,Sr,,13
1997,2,52,C.J. Bruton,G,6-2,195,21,Indian Hills,So *,VAN to POR,1
1996,1,3,Shareef Abdur-Rahim,F,6-9,225,19,California,Fr *,,12
1996,1,22,"Roy Rogers, Jr.",F,6-10,235,22,Alabama,Sr,,5
1996,2,51,Chris Robinson,G,6-5,205,22,Western Kentucky,Sr,,5
1995,1,6,Bryant Reeves,C,7-0,275,22,Oklahoma State,Sr,,7
1995,2,36,Lawrence Moten,G,6-5,185,23,Syracuse,Sr,,3
